segment_id,UK_2021_Viacheslav_Stelmakh_Kolhosp_tvaryn,UK_1991_Oleksii_Drozdovskyi_Skotoferma,UK_1992_Natalia_Okolitenko_Skotokhutir,UK_1991_Yurii_Shevchuk_Ferma_rai_dlia_tvaryn,UK_1984_Iryna_Dybko_Khutir_tvaryn,UK_2020_Bohdana_Nosenok_Kolhosp_tvaryn,EN_1945_George_Orwell_Animal_Farm,UK_1947_Ivan_Cherniatynskyi_Kolhosp_tvaryn,lapa_translations_combine
326,"Усе скінчиться за два тижні, казали вони.","Не мине й двох тижнів, пророкували вони, як усе стане на свої місця.",Та за два тижні там усе розвалиться! — казали вони.,"Ця вигадка, казали вони, розсиплеться на порох за два тижні.",---,Вся та гучна витівка зійде нанівець за два тижні — казали вони.,"The whole thing would be over in a fortnight, they said.",За два тижні буде по всій бучі — казали вони.,"Уся справа закінчиться за два тижні, сказали вони."
327,"Вони поширювали чутки про те, що між тваринами на фермі «Маєток» (вони принципово й далі називали її фермою «Маєток», не бажаючи й чути про «Колгосп тварин») панують постійні чвари і що вони дуже швидко всі повиздихають там із голоду.","Вони щиро сподівалися, що тварини на фермі «Статок» (так вони воліли й далі називати Скотоферму), бо ця нова назва аж надто різала їхній делікатний слух, невдовзі перегризуться поміж собою, а то й просто витягнуть ноги з голоду.","Тварини на фермі «Садиба» (нової назви не визнавали) між собою переб’ються, не кажучи про те, що просто повмирають з голоду.","Вони розпускали плітки, що на фермі «Садиба» (вони вперто називали ферму по-старому, не бажаючий чути про нову назву) безперервні чвари, що там тварини конають з голоду.","[як на Хуторі тварин незгода розпаношилась, як із голоду вмирають, бо за постійними сварками не мають часу на управу поля.]","На додачу запускали чутки, що тварини на фермі «Садиба» (вони вперто називали її так, бо назву «Колгосп тварин» навіть чути не хотіли) постійно билися між собою, а незабаром поздихають з голоду.",They put it about that the animals on the Manor Farm (they insisted on calling it the Manor Farm; they would not tolerate the name “Animal Farm”) were perpetually fighting among themselves and were also rapidly starving to death.,"Поширювали чутки, що тварини на хуторі «Дідівщина» (вони вперто називали його «Дідівщина» і ніколи не допускали назви Колгосп Тварин) безпреривно воюють між собою і крім цього швидкими темпами наближаються до голодної смерти.","Вони поширювали чутки, що тварини на Менор-Фарм (вони наполягали на тому, щоб називати її Менор-Фарм; вони не терпіли назви ""Тваринна ферма"") постійно воюють між собою і також швидко голодують до смерті."
328,"Коли ж проминуло трохи часу, а тварини, як видно, і не думали помирати з голоду, Фредерік та Пілкінґтонон заспівали інакшої й почали пліткувати про жахливе зло, що процвітає в Колгоспі тварин.","Але минали дні, тижні, місяці, а на Скотофермі ніхто й не думав простягати ноги передчасно, тож Фридерик та Пілкінгтон змушені були, воленс-ноленс, заспівати іншої й заходилися розводитися про звірячі звичаї, які нібито там запанували.","Та час минав, а на голод не заходило, й Фредерик та Пілкінгтон змінили платівку. Вони почали розповідати про варварські порядки, які панують на Скотохуторі:","Час минав, а тварини вочевидь не здихали з голоду; Фредерік і Пілкінгтон завели іншої, що на «Садибі» процвітає страшне зло.","Але коли й те не переконувало тварин, тоді Федориков і Пілсутов, кожний по-своєму, розповсюджував вістки про жахіття неморальности,","Та час минав, а тварини були живісінькі, тож Фредерік з Пілкінгтоном, змінивши платівку, заговорили про жахливе падіння моралі в «Колгоспі тварин».","When time passed and the animals had evidently not starved to death, Frederick and Pilkington changed their tune and began to talk of the terrible wickedness that now flourished on Animal Farm.","Коли час минаві ставало ясним, що тварини не здихають з голоду, вони почали, з іншої бочки: розказували про жахливу розпусту що, мовляв, процвітає зараз на Хуторі Тварин.","Коли минув час і тварини, очевидно, не померли з голоду, Фредерік і Пілкінгтон змінили свою думку і почали говорити про жахливу злобу, яка тепер процвітає на фермі «Тваринний двір»."
329,"Вони стверджували, що тварини там опускаються до канібалізму, катують одне одного розпеченими підковами та ділять між собою самиць.","Мовляв, на Джоунсовій фермі тварини вдаються до страшенних тортур за допомогою розпечених до білого підків, а то й просто пожирають одне одного живцем, а всі особи жіночої статі, від качки до кози, у них усуспільнені.","там узвичаєний канібалізм, тортури за допомогою розпечених острог, а всіх самичок усуспільнили.","Ніби тварини там займаються канібалізмом, катують одна одну розпеченими підковами і ділять між собою самок.","про канібалізм, та про те, як тварина над твариною знущається, а все тому, що тварини у своїй революції збунтувались і пішли проти законів природи.","Вони стверджували, що там процвітає канібалізм, що тварини катують одне одного розпеченими підковами, а самки в них спільні.","It was given out that the animals there practised cannibalism, tortured one another with red-hot horseshoes, and had their females in common.","Було об'явлено, що між тамошніми тваринами панує канібалізм, що вони мучать одне-одного розпаленими підковами, та що там проведено соціалізацію жінок.","Було поширено, що тварини там практикували канібалізм, катували одна одну червоними гарячими підковами та мали спільних самок."
330,«Ось до чого призводить бунт проти законів природи!» — казали Фредерік та Пілкінґтонон.,"Ось що значить бунтувати проти законів природи, додавали Фридерик та Пілкінгтон.","«Такі наслідки спроби піти супроти законів Природи», — завершували Джонсові сусіди.","«Ось до чого призводить бунт проти законів природи», — зловтішалися Фредерік і Пілкінгтон.","[а все тому, що тварини у своїй революції збунтувались і пішли проти законів природи.]","«Ось що відбувається, коли зневажаються закони природи», — робили висновок Пілкінгтон і Фредерік.","This was what came of rebelling against the laws of Nature, Frederick and Pilkington said.","Ось які наслідки бунту проти законів Природи, казали Фридрих та Пількінгтон.","Це було наслідком повстання проти законів природи, сказали Фредерік і Пілкінгтон."
331,Проте ніхто ніколи особливо й не вірив у ті казки.,"А втім, мало хто брав ці байки за чисту монету.","Сказати, що їм дуже вірили, не можна.",Однак цим байкам не йняли особливої віри.,"Але вісткам Федорикова й Пілсутова не дуже вірили,",Тим часом далеко не всі вірили їхнім вигадкам.,"However, these stories were never fully believed.",Та цим оповіданням ніколи цілком не вірили.,"Проте, ці історії ніколи не були повністю повіреними."
332,"Невиразні й викривлені чутки про чудесну ферму, звідки було вигнано людей і де тварини були самі собі господарями, продовжували поширюватися; того року довколишніми господарствами прокотилася хвиля повстань.","Химерні чутки про казкову ферму, звідки було вигнано людей, а скотина сама вирішує свої справи, і далі ширилися по всій окрузі та викликали до кінця року цілу хвилю всіляких заколотів…","Чутки про дивовижну ферму, де тварини, вигнавши людей, самі дають усьому раду, не вгасали, й незабаром округою прокотилася тривожна хвиля опору.","Чутки про дивовижну ферму, з якої повиганяли людей і на якій тварини господарюють самі, і далі ходили в невиразних і перекручених версіях; протягом року бунтарська хвиля прокотилася сільською місцевістю.","бо кружляли ще й такі, що тваринам прекрасно живеться, що своїм хутором зразково управляють.","Бо ширилися й інші чутки про незвичайну ферму, звідки тварини вигнали людей і запровадили самоврядування. Як наслідок, упродовж року в окрузі прокотилася хвиля повстань і заворушень.","Rumours of a wonderful farm, where the human beings had been turned out and the animals managed their own affairs, continued to circulate in vague and distorted forms, and throughout that year a wave of rebelliousness ran through the countryside.","Чутки про чудовий колгосп, звідки прогнали людських істот і де тварини керують власними справами, кружляли у неясній та перекрученій формі; у цьому році хвиля бунтарства розійшлась по околиці.","Чутки про чудову ферму, де людей вигнали, а тварини самі управляли своїми справами, продовжували поширюватися у невизначених та спотворених формах, і протягом того року хвиля бунтівливості прокотилася по всій країні."
333,"Завжди сумирні бики раптово навісніли, вівці проламували загорожі та пожирали усю конюшину, корови перекидали цебра, а мисливські коні відмовлялися брати бар’єри та галопом неслися разом із вершниками у протилежному напрямку.","Там і там воли, доти завжди слухняні й покірні, зненацька немов дичавіли; вівці ламали паркани й пожирали конюшину на вигонах; корови перекидали відра з молоком; скакуни відмовлялися брати перепони й брикалися, скидаючи своїх вершників на землю.","Смирні бички дичавіли, овечки ламали загорожі й витоптували посіви, а скакуни харапудились перед перешкодами й скидали вершників.","Завжди слухняні воли з доброго дива казилися, вівці ламали загорожі й травили конюшину, мисливські коні застигали перед перешкодами, а тоді мчали вершників у протилежний бік.","Такі вістки сприяли тому, що досі покірні корови на сусідніх хуторах розливали коновки з молоком, бугаї перестали бути згідливо-слухняні, повертали до первісного дикого стану при зустрічі з людиною, овечки розвалювали огорожу, нищили плоти, а коні на перегонах відмовлялись перескакувати обсади.","Бики, які завжди поводилися розважливо, наче показилися, вівці ламали огорожі й накидалися на ласу конюшину, корови перекидали повні дійниці, слухняні коні різко гальмували перед перешкодою, перекидаючи через неї вершника.","Bulls which had always been tractable suddenly turned savage, sheep broke down hedges and devoured the clover, cows kicked the pail over, hunters refused their fences and shot their riders on to the other side.","Бугаї, досі завжди покірливі, нараз ставили дикими, вівці виламували обсади і жерли конюшину, корови брикали і перекидали діжки з молоком, верхові коні на полюваннях несподівано відмовлялись скакати через обсади, і вершники летіли стрімголов на другий бік.","Бики, які завжди були поступливими, раптом стали дикими, вівці ламали огорожі та поїдали конюшину, корови перекидали відро, мисливці відмовлялися від своїх огорож і стріляли у своїх вершників на інший бік."
334,"А найважливіше було те, що мелодію й навіть слова «Звірів Англії» знали скрізь. Пісня поширювалася із приголомшливою швидкістю.","Більш того, не лише мелодія, але й слова гімну «До бидла Англії» стали загальновідомі, і популярність його серед чотириногих зростала буквально на очах.","Окрім того, катастрофічно ширилась популярність гімну «Тварини Англії».","Та що найважливіше, скрізь знали мелодію, ба й слова «Тварин Англії», вони ширилися з неймовірною швидкістю.","Вже кожна тварина в довколишніх селах і хуторах уміла співати «Тварини всіх країн», бо з подивугідною швидкістю присвоїли собі всі слова тієї пісні.","А найбільше дошкуляло те, що пісня «Тварини Англії» вже лунала повсюдно.","Above all, the tune and even the words of Beasts of England were known everywhere. It had spread with astonishing speed.",А що найголовніше: мелодія «Звірів Англії» відома була всюди. Пісня поширилась з подивугідною швидкістю.,"Насамперед, мелодію і навіть слова пісні «Тварини Англії» знали всюди. Вона поширилася з дивовижною швидкістю."
335,"Люди заледве стримували свою лють, коли чули її, хоча на позір і вдавали, що вважають її просто сміховинною. Вони казали, що не розуміють навіть, як тварини могли додуматися співати таку ганебну маячню.","Люди не могли стримати свою лють, коли чули цю пісню, хоча при цьому запевняли всіх і всякого, ніби їм просто смішно. Ну, просто не віриться, казали вони, щоб загалом не зовсім дурні тварини можуть усерйоз співати такі несусвітні дурниці.","Людей від нього аж тіпало, хоч вони й казали, що сподівалися від бидла чогось розумнішого, не такого нісенітного.","Люди несамовитіли, чуючи цю пісню, хоч і вдавали, ніби вона їх лише смішить. І казали, що не розуміють, як, нехай і тварини, можуть співати таку гидоту.","Людей, що чули цю пісню, розхвильовувала думка до люті, що и у них може таке трапитись, як у Романова, але — назовні — удавали, начебто пісня не гідна уваги й їх не турбує;","Зачувши її, люди шаленіли від люті, хоч і вдавали, що вона їх просто смішить. Вони знизували плечима, мовляв, не розуміють, як, хай навіть і тварини, можуть співати таку гидоту.","The human beings could not contain their rage when they heard this song, though they pretended to think it merely ridiculous. They could not understand, they said, how even animals could bring themselves to sing such contemptible rubbish.","Чуючи її, людські істоти скаженіли, хоч і вдавали, ніби вважають її лише смішною, їм тяжко зрозуміти, казали вони, як навіть тварини могли докотитися до співання таких ганебних теревенів.","Люди не могли стримати свій гнів, коли чули цю пісню, хоча й робили вигляд, що вважають її просто смішною. Вони не могли зрозуміти, казали вони, як навіть тварини можуть змусити себе співати таку ганебну нісенітницю."
336,Кожну спійману на виконанні цієї пісні тварину одразу ж карали різками.,"Кожного чотириногого, котрий привселюдно співав чи бодай наспівував мелодію «До бидла Англії», карали батогами на місці.","Однак того, кого застукували за співом, лупцювали нещадно.","Кожну тварину, спійману на цій пісні, нещадно карали різками.","хоча, коли зловили тварину на своєму хуторі за співом «Тварини всіх країн», карали жорстоко, били різками.","Потім почали нещадно карати навіть тих, хто просто мугикав цю мелодію.",Any animal caught singing it was given a flogging on the spot.,"Кожну тварину, схоплену з цією піснею на вустах, періщили на місці безпощадно.","Будь-яку тварину, спійману на співі, негайно били батогом."
337,Та пісня була нездоланна.,Але цю пісню годі було вбити чи задушити.,А пісня була невмируща!,І все ж вона була нездоланною.,"Та, проте, пісня не вгавала.",І все-таки вона лунала.,And yet the song was irrepressible.,"Проте, пісня залишалась нездоланною.",І все ж пісня була нестримною.
338,"Дрозди висвистували її, сидячи на живоплотах, голуби воркували її у кронах в’язів; вона вчувалася у брязкоті ковальських молотів і церковному передзвоні.","Сховавшись у кущах загорожі, її хором цвірінькали горобці, голуби повагом туркотіли її у кронах в’язів; її чути було у гуркоті ковальських молотів і в перебовку церковних дзвонів.","Дрозди висвистували її, сидячи на живоплотах, голуби витуркували її у листі берестів; ця мелодія відлунювала у гримкотінні ковальських молотів та виграванні церковних дзвонів.","Дрозди висвистували її на парканах, голуби вуркотіли її на в'язах, вона лунала в дзенькоті кузні і бемканні церковних дзвонів.",---,"Шпаки висвистувати її, сидячи на живоплотах, голуби воркували її серед дерев, вона впліталась в перестук ковальських молотків і в передзвін церковних дзвонів.","The blackbirds whistled it in the hedges, the pigeons cooed it in the elms, it got into the din of the smithies and the tune of the church bells.","Кози свистали її в живоплотах, голуби воркували її між листям в'язів, чути її було у брязкоті кузні та в гудінні церковних дзвонів.","Шпаки свистіли його в живоплотах, голуби воркували його в ясенах, він проникав у гуркіт кузень і мелодію церковних дзвонів."
339,"І коли люди чули її, вони потай тремтіли, бо в ній їм вчувалося провіщення їхньої майбутньої лихої долі.","І, чуючи цю мелодію, кожен так чи інакше усвідомлював, що це голос їхньої неминучої загибелі.","І людей від того обсипало морозом, бо ж вони знали: то голос майбутньої покари.","І коли людські істоти слухали її, то їх аж пересмикувало, бо вчували в ній пророкування своєму майбуттю.",---,"І зачувши ненависну мелодію, люди потай тремтіли, наче це лунав присуд їхньому майбутньому.","And when the human beings listened to it, they secretly trembled, hearing in it a prophecy of their future doom.","А коли людські істоти прислухались до неї, Вони потай тремтіли, бо чули в ній віщування майбутнього загину.","І коли люди слухали його, вони таємно тремтіли, чуючи в ньому пророцтво їхньої майбутньої загибелі."
340,"На початку жовтня, коли врожай вже скосили, пов’язали у скирти, а дещо навіть і обмолотили, у двір Колгоспу тварин, лопотячи крилами й дико галасуючи, залетіла зграя голубів.","На початку жовтня, коли пшеницю вже було зібрано, заскиртовано і навіть частково обмолочено, зграйка голубів крутнулася-мелькнула у повітрі і в надзвичайному збудженні приземлилася на клуні Скотоферми.","На початку жовтня, коли збіжжя було заскиртоване, а подекуди й обмолочене, зграя голубів, блиснувши при сонці, збуджено приземлилася на Скотохуторі:","На початку жовтня, коли скосили й поскиртували збіжжя, а частину навіть обмолотили, до ферми, сповнивши повітря лопотінням крил, влетіла зграя голубів і з диким галасом впала на двір.","На початку місяця жовтня, після жнив і звезення кукурудзи з піль, влетіли голуби на Хутір тварин із хвилюючою вісткою,","На початку жовтня, коли врожай було зібрано, складено й частково обмолочено, на подвір’я колгоспу вихором залетіла зграйка голубів, здійнявши шалений ґвалт.","Early in October, when the corn was cut and stacked and some of it was already threshed, a flight of pigeons came whirling through the air and alighted in the yard of Animal Farm in the wildest excitement.","На початку жовтня (збіжжя стояло вже в копах, частину навіть уже вимолочено) ключ голубів прилетів крутнем і сів на подвір'ї Колгоспу Тварин, виявляючи дике схвильовання.","На початку жовтня, коли кукурудзу зрізали та склали, а частину з неї вже обмолотили, зграя голубів пронеслася крізь повітря та приземлилася на подвір’ї Тваринної ферми з найбільшим захопленням."
341,"Виявилось, що Джонс, усі його посіпаки, а з ними ще й півдесятка наймитів із ферм «Лисячий гай» і «Лужок» перетнули браму з п’яти перекладин і путівцем прямують до ферми.","Пан Джоунс зі своїми посіпаками, а також з півдюжини підмоги із сусідніх хуторів, Лисячого гаю та Вовчого поля, уже проминули великі ворота й рухаються ґрунтовою дорогою, що веде до ферми.","Джонс зі своїми людьми та півдюжиною добровольців з Фоксвуда й Пінчфілда, розчинивши ворота, прямують до ферми.",Джонс зі своїми наймитами та з півдесятком найманців із ферм «Лисячий гай» та «Лужок» ввійшли через браму з п'яти перекладин і попростували до ферми.,"що Романов, зібравши чимало людей та своїх слуг, уже проходить ворота і зближається до майдану хутора.","Птахи були неймовірно схвильовані, бо побачили, що Джонс, усі його наймити та ще кілька фермерів уже минули важкі ворота й рухаються до будівель.","Jones and all his men, with half a dozen others from Foxwood and Pinchfield, had entered the five-barred gate and were coming up the cart-track that led to the farm.","Джонс, усі його наймити, і пів-десятка інших людей з Лисичого Гаю та Дериполя увійшли через п'ятизасувні ворота і наближалися по дорозі, що вела до колгоспу.","Джонс і всі його люди, разом із півдюжиною інших з Фоксвуда та Пінчфілда, увійшли через п’ятибар’єрний паркан і йшли вгору по ґрунтовій дорозі, що вела до ферми."
342,"Усі вони були озброєні палицями — окрім Джонса, що виступав поперед усіх, тримаючи в руках рушницю.","У всіх них лиш одна зброя — кийки, окрім самого пана Джоунса, у якого натомість рушниця.","Всі вони озброєні палицями, а Джонс тримає в руці ще й револьвер.","Всі з кийками, тільки містер Джонс виступав попереду з рушницею.","Всі люди йдуть із дрюками в руках, а Романов із рушницею.","Вони озброєні палицями, а в руках Джонса, який крокує попереду, — рушниця.","They were all carrying sticks, except Jones, who was marching ahead with a gun in his hands.","Всі були озброєні палицями, за винятком Джонса, що ступав попереду з рушницею в руках.","Вони всі несли палиці, крім Джонса, який йшов попереду з гвинтівкою в руках."
343,"Було очевидно, що вони хочуть відбити своє господарство назад.","Не може бути ніякого сумніву, що їхня стратегічна мета — це відвоювати у тварин усю їхню Скотоферму.","Без сумніву, вони збираються відбити ферму.","Не інакше, настроїлися відвоювати ферму.","Наступ Романова зумовлений відплатою тваринам за те, що його прогнали. Ось він тепер іде, щоб відібрати хутір, прогнати тварин і стати знову власником своїх земель.","Цілком зрозуміло, що люди хочуть захопити ферму.",Obviously they were going to attempt the recapture of the farm.,"Було ясно, що вони спробують відвоювати колгосп.","Очевидно, вони збиралися спробувати повернути ферму."
344,"Цього давно очікували, тож усе вже було готове заздалегідь.","Та свинота не була б свинотою, коли б із самого початку не чекала такої інвазії: всі необхідні приготування було зроблено заздалегідь.",Такого чекали давно й добре підготувалися.,"Цього давно сподівалися, тож і приготувалися заздалегідь.",Тварини вже від довшого часу передбачали такий наступ і приготували всі способи протидії.,Новина не заскочила мешканців ферми зненацька: таке вторгнення вони передбачали давно й готувалися до нього.,"This had long been expected, and all preparations had been made.","Цього сподівалися здавна, і все було вже наладнано для прийняття гостей.","Це давно очікувалося, і всі приготування були зроблені."
345,"Обороною керував Сніжок, який колись проштудіював стару книгу про військові походи Юлія Цезаря, знайдену у фермерському домі.","І недарма ціле-цілісіньке літо од ранку до вечора студіював Сніжок галльську кампанію Юлія Цезаря зі стародавньої книжки, яку сам відшукав на фермі, коли припекло і керувати всіма оборонними акціями було доручено саме йому.","Сноубол, який встиг вивчити знайдену в домі стару книжку про галльську кампанію Цезаря, взяв на себе організацію оборони.","Сніжок, який проштудіював знайдену в домі стару книгу про воєнні виправи Юлія Цезаря, відав оборонними заходами.","В тому помогла їм книжка, що її Давидович знайшов у головному будинку Романова. В книжці тій описаний наступ Юлія Цезаря на Єгипет; Давидович, прочитавши її, докладно уложив пляни протинаступу.","Керував обороною Сніжок, який по знайденій у будинку старій книжці вивчив усі битви Юлія Цезаря.","Snowball, who had studied an old book of Julius Caesar’s campaigns which he had found in the farmhouse, was in charge of the defensive operations.","Білан, що простудіював був книжку про походи Юлія Цезаря, яку знайшов у панському будинку, керував оборонними діями.","Сніжок, який вивчав стару книгу про кампанії Юлія Цезаря, яку він знайшов у фермерському будинку, відповідав за оборонні операції."
346,"Він швидко віддав накази, і за кілька хвилин кожна тварина вже стояла на своїй позиції.","Історичний досвід Юлія Цезаря виявився воістину неоціненним — даєш команду якнайзалізнішим голосом, і кожен займає своє місце.",Накази так і сипались: за кілька хвилин усі були на місцях.,"Пролунала його команда, і за кілька хвилин кожна тварина вже стояла на бойовому посту.","Тож під його проводом була оборонна дія, він негайно дав наказ і кожна тварина була на своєму, заздалегідь призначеному, місці оборони.","Він швидко віддав необхідні розпорядження, і через кілька хвилин тварини розійшлися по позиціях.","He gave his orders quickly, and in a couple of minutes every animal was at his post.",Він швидко повидавав необхідні прикази і вмить кожна тварина була на свойому становищі.,"Він швидко віддав свої накази, і за кілька хвилин кожна тварина була на своєму місці."
347,"Коли люди наблизились до господарських будівель, Сніжок дав команду до першого наступу.","Як тільки двоногі досягли будівель ферми, Сніжок завдав їм першого удару.","Щойно люди дісталися будівель, як Сноубол завдав першого удару.","Людські істоти наблизилися до будівель, і Сніжок вдався до першого наступу.","Як тільки люди підійшли до головного будинку, наступ тварин почався:","Щойно люди наблизилися до будівель ферми, Сніжок віддав наказ атакувати.","As the human beings approached the farm buildings, Snowball launched his first attack.","Коли людські істоти наблизились до обійстя, Білан кинув першу лаву у наступ.","Коли люди наблизилися до фермерських будівель, Сніжок розпочав свою першу атаку."
348,"Усі голуби — а їх було тридцять п’ять — почали літати назад і вперед над людськими головами, на льоту гидячи на них; і поки люди намагалися дати собі з цим раду, гуси, що досі чаїлися за живоплотом, вискочили назовні й почали люто щипати їх за литки.","Всі без винятку голуби, котрих було аж тридцять п’ять, умить зметнулися над нападниками, каляючи їм на голови з прицільної висоти, а коли ті почали відбиватися хто як міг від цих пернатих летунів, то цілий загін гусей, що причаївся в засіці за загорожею, рвонули вперед і тут же заходилися нещадно щипати нахабних агресорів за литки.","Всі тридцять п’ять голубів стали ширяти над головами нападників, застуючи їм овид, і, доки люди від них відмахувалися, гуси, вискочивши із засідки за парканом, безжально щипали їх за ноги.","Голуби, а їх було п'ять, заметалися, залопотіли над головами людей, оглушаючи їх з невеликої висоти. А поки люди давали їм раду, вискочили гуси з-за живоплоту й заходилися дошкульно щипати їх за литки.","всі голуби, а було їх тридцять п’ять, з висот злітали і дзьобами клювали безпощадно в обличчя й голови. В той час, як люди оборонялись від голубів, гуси, що ховались за кущами, наступали й кусали, як навіжені, в ноги,","У повітря здійнялися голуби й почали лопотати крилами над головами людей, дезорієнтуючи їх, а тим часом з-за паркана вискочили гуси й узялися злобно щипати їх за литки.","All the pigeons, to the number of thirty-five, flew to and fro over the men’s heads and muted upon them from mid-air; and while the men were dealing with this, the geese, who had been hiding behind the hedge, rushed out and pecked viciously at the calves of their legs.","Голуби (число усіх їх сягало тридцяти п'яти) пролітали туди й назад понад головами людей і з невеликої висоти каляли їх послідом. В цей час, коли увага людей була звернена на них, гуси, заховані досі за тином, вискочли та почали дошкульно дзьобати їм литки.","Усі голуби, у кількості тридцяти п’яти, літали туди-сюди над головами чоловіків і ширяли над ними з повітря; і поки чоловіки займалися цим, гуси, які ховалися за живоплотом, вибігли і люто клювали їх за литки."
349,"А втім, це був лише відволікальний маневр, спрямований на те, щоб трохи посіяти сум’яття у ворожих рядах; тож люди легко відігнали гусей палицями.","Однак це був лише хитрий тактичний прийом з метою дезорієнтувати противника — всякому було ясно, що люди легко відіб’ються від гусей кийками.","Але це був тільки легкий маневр з метою дезорганізувати противника, бо від гусей люди відбилися палицями.","Проте це був лише відволікаючий маневр, що мав посіяти певну паніку. Тож люди легко повідганяли гусей дрючками.",але по короткому часі людям вдалося відігнати гусей патиками.,"Та це був лише відвабний маневр, що мав змусити ворога рознервуватися.","However, this was only a light skirmishing manoeuvre, intended to create a little disorder, and the men easily drove the geese off with their sticks.","Та це була тільки легка сутичка, скоріше герць. Завданням цього маневру було викликати деякий нелад. Люди без труднощів прогнали гусей палицями.","Проте, це була лише легка сутичка, спрямована на створення невеликого безладу, і чоловіки легко відігнали гусей своїми палицями."
